trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2009		Evaluation of retinal vessel segmentation methods for microaneurysms detection	International Conference on Image Processing	MARTINS, C. I. O. ; MEDEIROS, F. N. S. ; VERAS, R. M. S. ; BEZERRA, F. N. ; CESAR JUNIOR, R. M.	B4	International Conference on Image Processing Computer Vision and Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2009		A Computer-Assisted Colorization Approach based on Eﬃcient Belief Propagation and Graph Matching	14th Iberoamerican Congress on Pattern Recognition (CIARP 2009)	NOMA, A. ; VELHO, L ; CESAR JUNIOR, R. M.	B2	Iberoamerican Congress on Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2009		Analysis of the GRNs inference by using Tsallis entropy and a feature selection approach	14th Iberoamerican Congress on Pattern Recognition (CIARP 2009)	LOPES, Fabrício Martins ; Oliveira, E. A. ; CESAR JUNIOR, R. M.	B2	Iberoamerican Congress on Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2008		A Backmapping Approach for Graph-based Object Tracking	SIBGRAPI	GRACIANO, A B V ; PAIXAO, T. M. ; CESAR JUNIOR, R. M. ; HIRATA JR., R.	B1	
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2008		Structural Matching of 2D Electrophoresis Gels using Graph Models	SIBGRAPI	NOMA, A. ; PARDO, A. ; CESAR JUNIOR, R. M.	B1	
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2008		PCA-based 3D Face Photography	SIBGRAPI	CHALCO, J M ; MACEDO, Y. ; VELHO, L ; CESAR JUNIOR, R. M.	B1	
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2007		Structural Image Segmentation with Interactive Model Generation (ACCEPTED)	IEEE International Conference on Image Processing - ICIP	CONSULARO, L. A. ; CESAR JUNIOR, R. M. ; BLOCH, Isabelle	A1	IEEE International Conference on Image Processing
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2007		Oversegmentation control for inexact graph matching: first results (ACCEPTED)	International Symposium on Mathematical Morphology - ISMM 2007	CONSULARO, L. A. ; CESAR JUNIOR, R. M. ; FIGUEIREDO, L H ; BLOCH, Isabelle	B1	International Symposium on Mathematical Morphology
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2007		Object Tracking Based On Graph Representations And Structural Pattern Recognition (ACCEPTED)	Brazilian Symposium on Computer Graphics	GRACIANO, A B V ; CESAR JUNIOR, R. M. ; BLOCH, Isabelle	Qualis nao identificado	Brazilian Symposium on Computer Graphics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2007		Efficient curve detection using a Gauss-Newton method with applications in agriculture	1st International Workshop on Computer Vision Applications for Developing Regions in Conjunction with ICCV 2007	ANDREANI, R. ; CESAR, G. ; CESAR JUNIOR, R. M. ; MARTINEZ, J. M. ; SILVA, P J S	Qualis nao identificado	1st International Workshop on Computer Vision Applications for Developing Regions in Conjunction with ICCV 2007
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2006		Modélisation de la relation spatiale entre pour des objets d'extensions spatiales très différentes	15e congrès francophone AFRIF-AFIA Reconnaissance des Formes et Intelligence Artificielle	BLOCH, Isabelle ; COLLIOT, O ; CESAR JUNIOR, R. M.	Qualis nao identificado	15e congrès francophone AFRIF-AFIA Reconnaissance des Formes et Intelligence Artificielle
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2006		Human and Machine Recognition of Fourier-Bessel Filtered Face Images	7th IEEE International Conference on Automatic Face and Gesture Recognition	ZANA, Y ; CESAR JUNIOR, R. M. ; CHALCO, J M	A1	International Conference on Automatic Face and Gesture Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2006		Identificación de regiones codificantes de proteínas mediante la transformada modificada de Morlet	XIII Concurso Latinoamericano de Tesis de Maestría. 32a Conferencia Latinoamericana de Informática - CLEI	CHALCO, J M ; CESAR JUNIOR, R. M.	B4	Conferencia Latinoamericana de Informática
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2006		Determining the Branching Structure of 3D Structures from Respective 2D Projections	Brazilian Symposium on Computer Graphics	LEANDRO, J. J. G. ; CESAR JUNIOR, R. M. ; COSTA, L. da F.	Qualis nao identificado	Brazilian Symposium on Computer Graphics
